user_id,recency,frequency,monetary,R,F,M,RFM_score,segment
00198dad,8,16,13206.73,4,2,1,7,At Risk
006781e4,28,16,13146.98,2,2,1,5,Churned
006891e6,27,23,27821.73,2,5,4,11,Loyal
007e5bdf,0,19,39805.57,5,4,5,14,Champions
012882d3,15,19,23810.13,3,4,3,10,Loyal
01c8cb58,11,13,22023.6,3,1,3,7,At Risk
022acd2b,95,12,7867.13,1,1,1,3,Churned
02c93baa,1,13,11371.45,5,1,1,7,At Risk
039beede,5,19,39350.16,5,4,5,14,Champions
03c7130c,24,15,18968.09,2,2,2,6,At Risk
03e773bd,26,14,26353.13,2,1,4,7,At Risk
03f06545,23,21,39094.29,2,4,5,11,Loyal
0413351f,26,17,11999.26,2,2,1,5,Churned
046de206,33,14,44217.79,1,1,5,7,At Risk
0479966b,11,19,23818.44,3,4,3,10,Loyal
04dd6fdd,11,27,45448.19,3,5,5,13,Champions
05896a36,14,19,41916.4,3,4,5,12,Champions
05a4a78a,6,12,11384.52,4,1,1,6,At Risk
05e8af14,36,19,22429.14,1,4,3,8,At Risk
06b89283,8,20,42889.87,4,4,5,13,Champions
06df390d,59,19,22437.46,1,4,3,8,At Risk
0883af81,0,18,18603.1,5,3,2,10,Loyal
08cc8f7d,5,9,25006.06,5,1,4,10,Loyal
095c5ddc,16,19,19899.22,3,4,3,10,Loyal
098c436b,26,22,58369.08,2,5,5,12,Champions
098eec81,14,15,22417.97,3,2,3,8,At Risk
09cac840,8,16,29621.57,4,2,4,10,Loyal
0a11c95d,8,25,25279.89,4,5,4,13,Champions
0ae2bbe9,37,15,17784.36,1,2,2,5,Churned
0ae4ff8e,7,13,18276.97,4,1,2,7,At Risk
0b545899,43,18,24364.13,1,3,3,7,At Risk
0bfa15e9,73,17,37608.83,1,2,5,8,At Risk
0c0331d7,24,17,26227.35,2,2,4,8,At Risk
0d09b4a3,3,12,18250.62,5,1,2,8,At Risk
0d979926,3,18,29297.37,5,3,4,12,Champions
0dc00e18,5,15,25625.12,5,2,4,11,Loyal
0e0f6a74,13,23,24399.9,3,5,3,11,Loyal
0ebf1a38,27,21,24181.42,2,4,3,9,Loyal
0fe6d090,40,15,41672.14,1,2,5,8,At Risk
100061c3,5,14,14234.53,5,1,1,7,At Risk
10952a9e,58,18,26589.48,1,3,4,8,At Risk
11814367,9,13,18913.27,4,1,2,7,At Risk
11b139fb,36,11,15451.56,1,1,2,4,Churned
123c5d52,21,21,25882.37,2,4,4,10,Loyal
13529742,7,16,21775.18,4,2,3,9,Loyal
1368e7a1,11,16,16533.21,3,2,2,7,At Risk
1378945a,27,15,17691.18,2,2,2,6,At Risk
13f2ce34,7,27,37835.47,4,5,5,14,Champions
14b821fd,54,16,42846.71,1,2,5,8,At Risk
14d6b085,19,20,35335.8,2,4,5,11,Loyal
16250abe,19,23,47723.44,2,5,5,12,Champions
163acd16,11,15,26245.39,3,2,4,9,Loyal
169eb9e8,1,18,30352.84,5,3,4,12,Champions
17017698,4,20,20535.33,5,4,3,12,Champions
179e172b,8,20,16525.76,4,4,2,10,Loyal
18ebbafe,36,11,12431.86,1,1,1,3,Churned
192c6874,66,15,20752.55,1,2,3,6,At Risk
1a6a089f,6,15,25714.28,4,2,4,10,Loyal
1aad5456,56,20,44329.0,1,4,5,10,Loyal
1ad2e557,19,17,18306.29,2,2,2,6,At Risk
1ae7f03f,41,20,23517.65,1,4,3,8,At Risk
1b39445f,8,20,25682.52,4,4,4,12,Champions
1bc2a664,5,16,20545.93,5,2,3,10,Loyal
1bfed79a,51,13,12509.45,1,1,1,3,Churned
1c835bab,16,22,33221.89,3,5,5,13,Champions
1c9a0902,9,16,10364.19,4,2,1,7,At Risk
1caed59b,27,15,86379.03,2,2,5,9,Loyal
1cd1ecd4,8,22,32146.17,4,5,5,14,Champions
1e12aa74,12,18,17997.62,3,3,2,8,At Risk
1eb409d2,77,19,22767.65,1,4,3,8,At Risk
1fee0ba6,3,19,25526.63,5,4,4,13,Champions
200744eb,62,14,18309.94,1,1,2,4,Churned
206acbf0,50,18,17739.0,1,3,2,6,At Risk
20bcdd5a,65,11,18211.23,1,1,2,4,Churned
20c07393,1,15,30517.91,5,2,4,11,Loyal
20dfa2eb,43,17,25376.94,1,3,4,8,At Risk
21af5b47,13,10,4818.42,3,1,1,5,Churned
21d97392,20,18,21001.49,2,3,3,8,At Risk
22a8d4e5,59,10,12857.9,1,1,1,3,Churned
22cab01e,21,7,5878.98,2,1,1,4,Churned
231c7835,2,21,18403.43,5,4,2,11,Loyal
23682d47,2,11,7752.85,5,1,1,7,At Risk
2370da49,10,17,30520.02,4,3,4,11,Loyal
23c3d5b4,2,21,46976.45,5,4,5,14,Champions
24253353,15,21,16739.99,3,4,2,9,Loyal
24dc4f05,52,12,21284.85,1,1,3,5,Churned
25cced2a,5,21,21275.66,5,4,3,12,Champions
2692b3c8,12,23,17558.03,3,5,2,10,Loyal
26b9d772,1,20,32566.66,5,4,5,14,Champions
27adbcb8,64,20,14922.45,1,4,2,7,At Risk
28dfae29,49,13,22113.61,1,1,3,5,Churned
29328b83,32,17,22259.1,2,3,3,8,At Risk
29388456,16,21,23066.54,3,4,3,10,Loyal
295097f3,15,26,28688.86,3,5,4,12,Champions
29ac406e,16,19,39998.55,3,4,5,12,Champions
29cfe5a3,17,14,13768.81,3,1,1,5,Churned
2a34efcb,10,18,22249.97,4,3,3,10,Loyal
2b729f0d,12,22,36546.86,3,5,5,13,Champions
2c1b9720,69,16,18479.91,1,2,2,5,Churned
2ebc2cc3,38,20,38042.63,1,4,5,10,Loyal
2f2ea522,2,19,24509.62,5,4,4,13,Champions
2f39bddd,1,17,15322.75,5,3,2,10,Loyal
2f46e4fb,74,12,6460.02,1,1,1,3,Churned
3012612d,28,24,19543.49,2,5,2,9,Loyal
30732ce7,37,21,46439.45,1,4,5,10,Loyal
30e9a13c,20,13,12257.16,2,1,1,4,Churned
30ea61ee,45,15,8662.26,1,2,1,4,Churned
31dee2a8,3,19,63396.36,5,4,5,14,Champions
32bc4744,21,15,30896.6,2,2,5,9,Loyal
32e19ff9,24,19,23587.95,2,4,3,9,Loyal
